,news
2080,"Ariha’s family holds on to hope, visits twice a month, as India again raises matter with Germany"
2081,"Vande Bharat Sleeper Express fare: How much it will cost from Howrah/Kamakhya to Malda, NJP"
2082,"In Bikaner, Class 12 student gang-raped inside moving car"
2083,"‘You didn’t feel bad when IIT, IIM went to Jammu’: Omar Abdullah on ‘controversy’ over NLU in Kashmir"
2084,"On SIR notice to ex-Navy chief, a clarification from poll officer"
2085,Supreme Court seeks ECI response on TMC MPs’ plea against SIR process in Bengal
2086,Ex-VP Jagdeep Dhankhar admitted to AIIMS after two bouts of unconsciousness
2087,"Rs 3,600 crore investment: What’s changing at 101 railway stations in West Bengal under Amrit Bharat Station Scheme"
2088,Om Birla does not rule out ‘exemplary punishment’ on use of e-cigarette in Lok Sabha
2089,Lower berth booking rules in Howrah-Guwahati Vande Bharat Sleeper Express: All you need to know
2090,Watch: Raghav Chadha spends day as Blinkit delivery person
2091,"Exclusive: In Kashmir, police seek granular info on mosques – and who runs them"
2092,"‘Real friends can disagree, but always resolve differences’: Sergio Gor takes charge as US Ambassador to India, says next call on trade deal tomorrow"
2093,"Dibrugarh-Gomti Nagar (Lucknow) Amrit Bharat Express: Train number, route, stoppages, frequency, time table"
2094,Planning a trip on Howrah-Guwahati Vande Bharat Sleeper train? Here’s how much luggage you can carry
2095,"Gold Today Rate, January 12: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2096,Veteran Left leader Samir Putatundu dies following prolonged illness
2097,"Top News Headlines of January 12, 2026 | Trump to meet Venezuela’s opposition leader Machado on Thursday, says White House official"
2098,Swami Vivekananda inspired youth to contribute to nation-building: President Murmu
2099,"Setback for ISRO: PSLV mission fails again, deviates from path"
2100,"Communal tension grips Assam’s Kokrajhar over rape case, accused shot at ‘while trying to flee custody’"
2101,‘Had disagreements… but never left’: New AAP Goa chief after party picks founding member as state chief amid turmoil
2102,"Former Navy Chief asked to submit more documents for SIR: ‘Wife and I asked to appear on different dates, 18 km away’"
2103,"Bank Holiday Today: Are banks open or closed on Monday, January 12? Check city-wise operational status"
2104,ED moves SC for CBI probe into Mamata’s ‘interference’ during raids on I-PAC office
2105,PM Modi: India moving ahead with certainty amid global turmoil
2106,Exclusive: Plans for four agile Army battle groups in the east gather pace
2107,Stalin urges Centre to consult states on caste enumeration in upcoming census
2108,"Defence to skill, slew of pacts on table as Merz and Modi meet today"
2109,Army opens fire at ‘Pakistani drone’ hovering along LoC in Nowshera
2110,India proposes forcing smartphone makers to give source code in security overhaul
2111,"Amid Bar association boycott, CJI lays foundation stone for ‘integrated judicial complex’ in North Guwahati"
2112,Howrah to Guwahati: Here’s how India’s 1st Vande Bharat sleeper train could transform travel experience
2113,‘We have to avenge our history’: NSA Ajit Doval urges youth to make India great in every aspect
2114,"Amid Trump tariff worries, a Tamil Nadu caution: 30 lakh jobs at risk"
2115,"New Jalpaiguri-Tiruchirappalli Amrit Bharat Express: Train number, route, stoppages, frequency, time table"
2116,Missing letter leads to headmistress’s suspension after exam question ‘hurts religious sentiment’ in Chhattisgarh
2117,"Indian Railways reservation: From Jan 12, Aadhaar-authenticated IRCTC users can book train tickets till midnight"
2118,Manipur fuel stations shut down indefinitely after bomb attack in Bishnupur
2119,I-PAC raids LIVE updates: TMC turns ED raids into battle cry as Mamata launches new election anthem for 2026
2120,Kerala MLA Rahul Mamkootathil arrested in third rape case against him
2121,PM Modi leads Shaurya Yatra with 108 horses in Gujarat’s Somnath | Watch
2122,"Top News Headlines of January 11, 2026 | Britain is in talks with NATO to counter Russia and China in the Arctic"
2123,‘Never discussed religion in class’: Dreams paused as MBBS course spiked at J&K’s Vaishno Devi medical college
2124,"Row over searches on  I-PAC: ED to move SC, Bengal govt files caveat"
2125,"India looks at ‘graded’ opening of economy to China, easing curbs"
2126,"Exclusive: German Chancellor Merz arrives tomorrow, ‘first bilateral outside NATO, EU space’"
2127,21 officers awarded for ‘child-friendly policing’ in Assam
2128,"Madhya Pradesh will overhaul water monitoring with robotics, GIS mapping after Indore deaths"
2129,A Garo youth’s death sparks tensions in Meghalaya. Peace meetings and appeals follow
2130,4 states have gig worker laws. But have they really helped?
2131,"Hours after announcement of CBI probe, FIR against ‘VIP’ in Ankita Bhandari murder case"
2132,‘In his personal capacity’ – JD-U distances itself from KC Tyagi’s call for Bharat Ratna for Nitish Kumar
2133,Infant’s thumb severed as nurse tries removing cannula at MP’s largest state hospital
2134,"In Sabarimala priest’s arrest, BJP sees an opening to take on the Left"
2135,"Taliban diplomat takes charge, assures Indian staffers they can stay on"
2136,From pigeons to pistols: What security forces intercepted along the Jammu border ahead of Republic Day
2137,"Alipurduar-Panvel Amrit Bharat Express: Train number, route, stoppages, frequency, time table"
2138,"Once a hub of scholars, Bihar’s Maithili Academy now stares at shutdown"
2139,"On Malayalam Language Bill, it’s Siddaramaiah vs Pinarayi"
2140,Small aircraft crashes while landing at Rourkela; 6 injured
2141,"Sealdah-Banaras Amrit Bharat Express: Train number, route, stoppages, frequency, time table"
2142,"Vande Bharat Sleeper to Amrit Bharat Express: Poll-bound West Bengal, Assam to get 11 new trains – Full list, routes"
2143,‘India’s PM will always be a Hindu’: Assam CM Himanta replies to Owaisi’s ‘hijab-clad woman as PM’ remark
2144,"Howrah-Delhi (Anand Vihar Terminal) Amrit Bharat Express: Train number, route, stoppages, frequency, time table"
2145,"Abducted by armed militants in Niger, 5 Jharkhand workers released after MEA, state govt efforts over 8 months"
2146,Arms consignment dropped by drone seized near IB in J-K’s Samba
2147,VC asks writer Manoj Rupda to leave seminar at Chhattisgarh varsity; later says outrage ‘blown out of proportion’
2148,"Chhattisgarh Congress MLA arrested in cheating case, party calls it BJP ‘conspiracy’"
2149,Manipur violence: The first of cases being probed by CBI reaches trial stage
2150,VC asks writer Manoj Rupda to leave seminar at Chhattisgarh varsity; later says outrage ‘blown out of proportion’
2151,Cow products to cure cancer: MP govt spent Rs 3.5 cr on research; probe now puts scanner on where money went
2152,"Ankita Bhandari’s father says CBI probe should focus on ‘VIP angle’, go beyond what has already been revealed"
2153,Exclusive: Hiccup in Beatles Ashram revamp plan prompts sharp response from Uttarakhand govt
2154,Ex-Navy officer arrested again in Qatar: MEA
2155,Creator’s Corner on DD News to air content by digital influencers
2156,"Critical deals in Operation Sindoor year, Defence spending hits six-year high"
2157,We stand for multilateralism: India after US exit from 66 organisations
2158,Concerned over Minneapolis shooting: India
2159,"Political vendetta to tarnish Lalu, says RJD; CBI has enough evidence: NDA in land-for-jobs case"
2160,"‘Conspiracy to delete large number of voters’: Assam Opposition steps up ‘vote chori’ claims against BJP, approaches police, ECI"
2161,"Budget Session 2026 to commence on January 28, to continue till April 2"
2162,"Pressure mounting, Uttarakhand CM recommends CBI probe into Ankita Bhandari murder"
2163,"Birthday party turns fatal; ex-Madhya Pradesh minister’s daughter, Congress leader’s son killed in accident"
2164,Amit Shah inaugurates National IED data management system
2165,"Prejudiced, focus on your responsibilities: India hits back at Mamdani letter to Umar"
2166,"Deal stalled as Modi didn’t call: Lutnick; inaccurate, says Govt"
2167,"Howrah-Guwahati (Kamakhya) Vande Bharat Sleeper: Train number, stoppages, frequency, time table, ticket price"
2168,"Twist in Sabarimala gold theft scandal: Chief priest, key figure at temple, arrested"
2169,"Telangana rights panel slams ‘medical negligence’, recommends Rs 8 lakh additional compensation, job for family after botched surgery death"
2170,"‘Why are you so worried, Mamata ji?’: BJP raps West Bengal CM for ‘snatching files’ during ED raid at I-PAC chief Pratik Jain’s Kolkata house"
2171,"Man lynched over cattle theft suspicion, kin say targeted for his faith"
2172,India’s 1st Vande Bharat Sleeper train to run at speeds up to 130 kmph on Howrah-Guwahati route
2173,"Here’s how Southern Railway’s coaching terminal expansion will help to run more trains from Chennai, Coimbatore & Ernakulam"
2174,"Jana Nayagan release remains in limbo: High Court clears Vijay’s film, but CBFC rushes to appeal"
2175,Panchkula residents challenge Haryana’s ‘unjustified’ fixed power tariffs before regulatory commission
2176,"Gold Today Rate, January 9: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2177,"Bribery, DA cases hit 25-year high in 2025 as corruption FIRs nearly double in Bihar"
2178,"Tug of war between Chhattisgarh BJP MP, minister goes to High Court"
2179,"I-PAC raids Highlights Bengal govt files caveat in SC, says no order should be passed without hearing their side"
2180,"Fresh row in Indore: Collector, mayor attend meeting in RSS office"
2181,NASA’s Crew-11 to return ahead of schedule due to medical issue with astronaut at ISS
2182,"After months of impasse, Ladakh’s high-powered committee to reconvene in ‘last part of January’"
2183,"Over 250 years old, struggling Munger gun factories get a shot in the arm"
2184,"No backbenchers, lighter schoolbags: Kerala schools will change from next academic year"
2185,‘Wonder the state of the common man’: Goa MP gets EC notice over SIR
2186,"Coal smuggling syndicate, hawala operators, and a cop close to ‘kingpin’: How ED linked them to I-PAC"
2187,‘Akin to raid on a party office’: ED action on I-PAC adds to Opposition unease
2188,"Madhav Gadgil • (1942-2026): Scientist, ‘people’s ecologist’, voice of Western Ghats, forests, rivers, communities"
2189,"Reforms by Modi govt keeping Indian economy strong, says BJP"
2190,Congress demands SC-level probe into Indore water deaths
2191,‘Security issue’: Bangladesh suspends visa services at key Indian missions
2192,Europe has most room to grow today among India’s major ties: Jaishankar in Paris
2193,Pained over ideological deviation of CPM: Kerala Left’s media face Reji Lukose joins BJP
2194,"Why ‘celebrate’ after Vaishno Devi medical college’s MBBS course spiked, who is responsible for deficiencies: Omar Abdullah"
2195,"How AI is making its case in courts, trimming trials and errors"
2196,"ASI’s sole mandate ends, conservation of protected monuments opens up to private agencies in 2 weeks"
2197,"I-PAC raids ‘met with resistance’ from Mamata, ED set to knock on High Court doors, top officers say"
2198,Cold conditions intensify in Kashmir; fringes of several water bodies freeze
2199,"Indian Railways eyes production of 4,802 LHB coaches in FY27"
2200,"Security stepped up after bomb threats to Odisha courts, police chief says ‘closely monitoring’ situation"
2201,India’s first Hydrogen train trial run begins; passenger services expected this year
2202,"For Kerala, Madhav Gadgil’s voice was ‘nature’s conscience’, echoing through a decade of natural disasters"
2203,"Top News Headlines of January 8, 2026 | Russian shadow fleet oil tanker damaged in drone attack off Turkey coast"
2204,"Rajasthan ACB ‘exposes’ Rs 2000 crore mid-day meal scam, 21 booked"
2205,"Gold Today Rate, January 8: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2206,"Scientist, author, and foremost voice of ecological conscience: Madhav Gadgil proposed a roadmap for Western Ghats conservation"
2207,Trump greenlights Bill proposing 500% tariff over Russia oil trade
2208,‘Darkest day of my life’: Vedanta chairman Anil Agarwal mourns death of son Agnivesh
2209,"US withdraws from UN climate agreement, many other climate organisations"
2210,"Madhav Gadgil, ecologist who championed conservation of fragile Western Ghats, passes away"
2211,Red faces in Bihar Congress as leaders come to blows during meeting to review election drubbing
2212,"Cop alleges assault, MLA pressure over ‘illegal’ mining; suspended for ‘misconduct’"
2213,"Over a lakh enumerators, 15,000 supervisors: How Odisha is gearing up for Census"
2214,Bar association says it will skip stone-laying ceremony of Gauhati High Court complex
2215,"‘Communalisation of education’: From Kashmir, a sharp response to Vaishno Devi medical college row"
2216,Madhya Pradesh says 8 died of Indore water contamination. But records show 18 families compensated
2217,"Vaishno Devi medical college tried to expand student pool thrice, was rejected each time"
2218,‘No due process’: Vaishno Devi medical college got nod 4 months before NMC withdrew permission
2219,"Disquiet on Trump’s PM remark, but Delhi chooses not to react"
2220,"Netanyahu dials PM Modi, briefs him on Gaza plan"
2221,Siddaramaiah is Karnataka’s longest-serving CM: ‘Don’t know how long I will stay’
2222,"Expert on loss and damage, activist Harjeet Singh raided by ED is prominent voice of climate NGOs"
2223,"Roads have to be clear of dogs, no need to have them running around, causing accidents: SC"
2224,"AI in polls, electoral roll purity on table at EC international conference"
2225,"Chorus on Vaishno Devi medical college after MBBS course is spiked: Farce by NMC, influenced by politics, predetermined"
2226,From rescue to ‘attempted murder’: How a Kerala man’s attempt to ‘win back girlfriend’ backfired
2227,PM Modi speaks with ‘friend’ Benjamin Netanyahu on Israeli New Year: Here’s what they discussed
2228,"As Chhattisgarh sees 26 more Maoist surrenders, police say insurgents ‘nearly pushed out’ of Sukma"
2229,"Multiple complaints, surprise inspection: National Medical Commission withdraws MBBS nod to Vaishno Devi medical college amid row over admission to Muslims"
2230,"What Jaishankar said on India’s partnership with Luxembourg, neighbourhood policy, and equation with Pakistan"
2231,‘Habitual RTI applicant took bribes from officials to withdraw applications’: Odisha Information Commission approaches police
2232,"‘Enough is enough’ echoes in Panaji as prominent Goans gather in major push to protect state’s hills, lakes, identity"
2233,Congress’s latest ‘vote chori’ claim: ‘Temporary voters’ in Assam
2234,"State response on Indore water deaths insensitive, High Court says"
2235,"For Bihar’s ‘Virat Ramayana Temple’, a virat Shiva Lingam makes a Virat journey"
2236,Climate activist in ED probe arrested under UP excise laws
2237,"SIR 2.0 draft rolls: 13% electors deleted in nine states, three UTs"
2238,"As Operation Sindoor paused, India activated lobbyists to reach out to Trump admin"
2239,"BJP leader calls for separate Jammu state, Omar Abdullah responds: ‘You couldn’t handle Ladakh…’"
2240,"Former Union minister’s son arrested in Raipur hit-and-run, granted bail; ‘CCTV stopped working hour before incident’"
2241,"Jean Drèze says VB-G RAM G weakens employment guarantee, activists flag proposed 60-day work suspension"
2242,"After row over admitting Muslim students, protesters seek closure of Vaishno Devi medical college"
2243,The first International Spice Routes Conference in Kerala tells the story of spices through ancient trade networks and social histories
2244,Ratle Hydroelectric Power Corporation seeks extension for environmental clearance for 850 MW hydroelectric project on Chenab
2245,"‘Doesn’t it look like conspiracy to you?’: Uttarakhand CM Dhami suggests Ankita Bhandari protests meant to hinder his work, promises no one will be shielded"
2246,SIR UP Voter List 2026: What to do if your name is not there in draft voter list
2247,"BJP’s Piyush Goyal welcomes Madras HC’s Karthigai Deepam order, says it has ‘clearly shown DMK and INDI alliance are anti-Hindu’"
2248,"Cricketer Kranti Gaud’s father, suspended 13 years ago from Madhya Pradesh police, is reinstated – after CM’s nudge"
2249,Karur stampede case: CBI summons Vijay for questioning
2250,"2 cops accused of pocketing gold, silver, cash found in raid at thief’s Bihar home"
2251,"Four children sustain severe burns after fellow student throws paint thinner, lights match in Odisha school"
2252,"North, central India brace for a sharper cold wave: Temperature likely to fall 2-3°C in two days; dense fog to persist, says IMD"
2253,"Gold Today Rate, January 6: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2254,"UP SIR Draft Voter List 2026: How to check deleted names on draft voter list in Prayagraj, Lucknow, Agra on eci.gov.in? What to do if name is missing"
2255,"National Lok Adalat 2026 in Delhi: Know date, court complexes, process of settling traffic challans, and more details"
2256,"After outcry over football team, regional bias row in J-K now hits youth cricket"
2257,"UP SIR Draft Roll Highlights: Draft voter list 2026 released, nearly 3 crore names deleted"
2258,"100 days of Sonam Wangchuk’s detention: Wife reflects on ‘challenging time’, road ahead"
2259,‘Hidden treasure’ turns to dust: How mystery behind ‘ancient pot’ dug up in Rajasthan village unravelled
2260,Demand for ban on non-Hindus in Kumbh areas gets Uttarakhand CM’s attention: ‘Will hold discussions’
2261,"‘VIP’ allegations in Ankita Bhandari murder: BJP’s Dushyant Gautam files defamation case against ex-MLA’s wife, Congress"
2262,Omar Abdullah at Express Adda: ‘I find it difficult to use Union Territory and Jammu & Kashmir in the same sentence’
2263,"ED raids climate group, claims got foreign funds to sway govt policies"
2264,"German Chancellor Merz to visit on Jan 12-13, hold talks with PM Modi"
2265,PM Modi ‘directly monitoring 15 projects’ in J&K: Atal Dulloo
2266,"Chhattisgarh: Minor tribal girl found dead, police suspect rape, murder"
2267,"Chhattisgarh BJP MLA Renuka Singh’s son booked in hit-and-run, biker critical"
2268,Marine resources not the property of any one country: Rajnath Singh in Goa
2269,‘Was assured I would be made mayor’: BJP’s Thiruvananthapuram councillor Sreelekha
2270,Panic among parents as jaundice outbreak at Odisha school leaves over 30 students ill
2271,Indian Railways utilises over 80% of FY26 capex in first 9 months
2272,"‘Decisions flowing only from top…’: Citing self-respect, former AAP Goa chief Amit Palekar quits party"
2273,"Pongal special trains 2026: Full list, route, time table, stoppages"
2274,"Fire at ONGC well in Andhra Pradesh after gas leak, 2 villages evacuated"
2275,‘Very unfortunate’: Umar Khalid’s father after SC rejects bail plea in 2020 Delhi riots cases
2276,Passengers on Howrah-Guwahati Vande Bharat Sleeper to get high-quality mill-made linen items
2277,"‘Modi knew I was unhappy,’ says Donald Trump as India cuts Russian oil imports; Senator says tariffs forced Delhi’s hand"
2278,"Republic Day 2026: How to book tickets of 26 January parade online; check steps, ticket prices, entry rules and other key details"
2279,How many trains run every day from New Delhi railway station?
2280,2 injured in blasts in Manipur’s Bishnupur Imphal
2281,"Republic Day Parade 2026 Tickets: How to book online, ticket prices, offline counters and more details"
2282,Ujjain SDM who called Kailash Vijayvargiya’s ‘ghanta’ comment ‘authoritarian behaviour’ suspended
2283,"Gold Today Rate, January 5: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2284,PM Modi hails Somnath Temple as symbol of India’s indomitable spirit
2285,Defence Minister Rajnath Singh commissions Indian Coast Guard ship Samudra Pratap in Goa. All you need to know
2286,IMD predicts dense fog in parts of North India over next two days
2287,"Somnath Swabhiman Parv – 1,000 years of unbroken faith (1026-2026)"
2288,Assam Earthquake: Assam hit by 5.1 magnitude earthquake; no casualty reported
2289,"A midnight call only clue for one family, kin of others deported in Assam grope in dark"
2290,"Rahul Gandhi’s social justice politics has no meaning without Pasmanda Muslims, Bihar Congress leader says"
2291,"Indore crisis: Doctors recall peculiar cases, families say they barely had time to respond"
2292,"Before water contamination deaths, journey to top: How Indore swept Swachh rankings year after year"
2293,"US tariff high, India’s seafood exports to other nations up 16%"
2294,"Opposition condemns US’s Venezuela operation: Congress expresses ‘grave concern’, Left calls for nationwide protests"
2295,India has surpassed China to become the world’s largest rice producer: Shivraj Singh Chouhan
2296,‘We’ll continue until Ankita gets justice’: Protests rage across Uttarakhand demanding CBI probe in 2022 murder
2297,Painting withdrawn from Kochi-Muziris Biennale amid objections
2298,"Expired lease, suspended blasting clearance: Odisha quarry where cave-in killed workers was operating ‘illegally’"
2299,Indian Railways reservation: IRCTC extends ticket booking time for Aadhaar-authenticated users from Jan 5
2300,Man who posed as IAS officer for 7 years despite failing UPSC exams arrested in Jharkhand: police
2301,Jammu and Kashmir Assembly’s budget session to begin on February 2
2302,Howrah-Guwahati Vande Bharat Sleeper train to cut travel time by 3 hours
2303,"India walks tightrope on US actions in Venezuela: ‘Deep concern,’ need for dialogue"
2304,RPF constable injured after rifle goes off ‘accidentally’ at Kathua railway station
2305,Rajnath Singh to commission ICG ship Samudra Pratap in Goa on Jan 5 Panaji
2306,"2 bodies recovered, search on for more after explosion at Odisha quarry leads to cave-in"
2307,"Top News Headlines of January 4, 2026 | Man, woman held in honey-trap robbery of Ropar businessman"
2308,"Amid final anti-insurgency push, Chhattisgarh police claim upper hand: ‘Maoism will end’"
2309,"For killing and burning Assam couple accused of ‘witchcraft’, 20 arrests as police draw hard line"
2310,What contaminated Indore’s water? Toilet still top possibility but engineers spread out to look for other culprits
2311,"In Arunachal’s white-bellied heron habitat, Kalai-II project gets nod"
2312,"No trekking, hiking in South Kashmir’s popular mountain passes. What prompted two-month ban"
2313,BJP leader ‘attacks’ on-duty woman BDO in Odisha in her office chamber
2314,Assembly gherao to panchayat outreach: Cong’s VB-G RAM G protest from Jan 10
2315,Buddha relics not mere artefacts but part of India’s revered heritage: PM Modi
2316,Two men from same village rose to top of Maoist ranks. Their careers – and fates – ended differently
2317,"After a choppy start, stitched ship INSV Kaundinya back on course"
2318,NIA takes over ricin terror plot probe from Gujarat ATS
2319,CJI to law students: ‘World will evaluate you with chambers and salaries… None of this is irrelevant; none is definite either’
2320,"India issues travel advisory for Venezuela, urges citizens to avoid non-essential travel"
2321,Congress lashes out against late-night redrawing of Barmer-Balotra district boundaries in Rajasthan
2322,Kerala legislator convicted of tampering with evidence – drug accused client’s underwear – in 1990 case
2323,"All states, including Kerala, to get Vande Bharat Sleeper trains: Ashwini Vaishnaw"
2324,In Photos | First look of Howrah-Guwahati Vande Bharat Sleeper train
2325,Six Bajrang Dal men get bail in Raipur mall vandalism case — and a ‘hero’s welcome’
2326,"Zomato CEO Deepinder Goyal defends ’10-minute delivery’, gig workers say that’s not their concern"
2327,14 Maoists killed in Sukma-Bijapur encounters as top commander surrenders
2328,Man beaten up over Bangladeshi suspicion in Bihar’s Madhubani; attempt to murder case filed
2329,"While North India battles fog and cold wave, IMD forecasts rain in South"
2330,"Police starts inquiry into J-K cricketer wearing helmet with Palestine flag, Mehbooba reacts: ‘From the river to the sea…’"
2331,Remarks on Bihar women by husband of Uttarakhand’s Women Empowerment Minister spark outrage: ‘Shameful statement’
2332,"Gobi manchurian faces heat again in Goa, banned at annual Bodgeshwar fair"
2333,"As Ankita Bhandari case gains momentum, Uttarakhand minister’s jibe – ‘Present evidence’"
2334,"In fallout of Indore water contamination crisis, senior officials face the axe"
2335,"7 of world’s rarest frogs presumed dead, study blames rise in photo tourism"
2336,"Behind Indore deaths, civic collapse, health system struggling with deluge of patients"
2337,"Mukesh Singh new DGP of Ladakh, incumbent shifted to Arunachal"
2338,"Amit Shah reviews Manipur situation with Governor, officials"
2339,‘Won’t tolerate interference in internal matter’:  BJP slams Mamdani’s note to Umar Khalid
2340,"After violence, bulldozers raze ‘illegal structures’ in Rajasthan’s Chomu"
2341,How much does a Vande Bharat Sleeper train coach cost?
2342,"In first Friday message of 2026, Mirwaiz reflects on the year that was — from Pahalgam to Red Fort blast"
2343,"Caught on camera, New Year heist in Odisha doesn’t go to plan, but miscreants still manage to flee with cash"
2344,"How Maharashtra, Karnataka, TN, UP and Telangana lost over Rs 10,000 cr to cheating in 2025"
2345,"Centre cracks down on Elon Musk’s X over Grok AI, asks it to remove ‘obscene and sexually explicit content’"
2346,"To mask wife’s murder, man kills dog, buries it in same location"
2347,‘If there is no good neighbourliness…’: Jaishankar reiterates ‘right to defend our people’ in warning to Pakistan
2348,‘He said he’d like to share a letter’: When Zohran Mamdani penned a note to Umar Khalid
2349,Chhattisgarh HC grants bail to Baghel’s son in liquor ‘scam’
2350,Delhi AQI: GRAP 3 revoked as air quality improves. What changes and what restrictions stay
2351,Justice Mahesh Sharadchandra Sonak is Jharkhand HC’s next chief justice
2352,Odisha’s plan to resolve Malkangiri dispute between the tribals and the Bengali settlers
2353,"Mystery over husband’s death in Israel unsolved, Kerala woman dies by suicide"
2354,Bihar ministers’ assets: EBC welfare minister richest; deputy CMs wealthier than Nitish
2355,Railways to run bullet trains every 15-20 minutes during peak hours under initial plan
2356,"Indore water deaths: Rahul Gandhi targets BJP’s double-engine govt, says ‘poor die, Modi remains silent’"
2357,"‘Uphold the beauty of Indore’: After deaths due to contamination, High Court orders immediate supply of clean drinking water"
2358,"Trains at a Glance 2026 released: Railways speeds up 549 trains, adds 122 new services"
2359,"Video of woman constable being stripped during violent Chhattisgarh anti-mining protest sparks outrage, 2 arrested"
2360,January 2026 Bank Calendar: A complete city-wise list of bank holidays across India
2361,Mumbai-Ahmedabad bullet train project update: Maharashtra’s 1st mountain tunnel breakthrough achieved in Palghar
2362,"Gold Today Rate, January 2: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2363,Indore water deaths: India’s cleanest city faces deadly water crisis as sewage mix kills 10. All you need to know
2364,"Delhi, North India temperature may drop to 6 degrees Celsius, forecasts IMD"
2365,"Barefoot beginnings, national dreams: How tribal girl from Jharkhand became U-17 Indian football’s ‘Goal Machine’"
2366,‘Distorted depiction of The Last Supper’: Christian groups object to painting at Kochi-Muziris Biennale
2367,How security forces are equipping residents of remote villages with skills to defend themselves against terror
2368,"Candlelight vigils and a looming protest: 3 years on, Ankita Bhandari murder case continues to put heat on Uttarakhand govt"
2369,Bank Holiday Today: Are banks open or closed for New Year Celebration (January 2)? City-wise list below
2370,"‘Acid’, ‘dirty water’, ‘foul stench’: Before Indore deaths, complaints fell on deaf ears; bureaucracy kept pipes from getting fixed"
2371,"Before SC call for ‘experts’, a panel sought more studies for method to define Aravallis"
2372,PM Modi to launch first Vande Bharat sleeper this month
2373,"Amid protests over alleged financial irregularities, Tezpur University V-C sent on leave, probe panel set up"
2374,"After missing multiple deadlines, Gaganyaan’s first uncrewed mission likely to lift-off by March"
2375,Cricketer ‘wearing helmet with Palestine flag’ called for police questioning in Jammu
2376,New Chief Secy gets 15-point to-do list from Odisha CM
2377,People of Kerala ‘ready for new dawn’: PM Modi in letter to first BJP mayor of Thiruvananthapuram
2378,Prolonged fog and dry spell leaves December 5th driest over India : IMD
2379,Assam will push people back into Bangladesh within a week of being declared foreigner: CM
2380,"‘The administration killed them’: Six-month-old, whose parents waited decade for a boy, among 8 dead from contaminated water in Indore"
2381,10-minute newspaper reading now a must in all Rajasthan govt schools
2382,"Vande Bharat Sleeper trains to cover 1,000–1,500 km routes; 12 trains set for launch in 2026"
2383,"Cash for UG, PG students, Bihu gift for women: Before Assam polls, it’s raining sops"
2384,"India’s first bullet train to be ready by August 15, 2027 – All you need to know"
2385,"Howrah-Guwahati Vande Bharat Sleeper train: Check launch date, route, stoppages, ticket price, food menu"
2386,Attacks on Kashmir shawl sellers: Farooq Abdullah says ‘some people want to introduce Hitler’s system’
2387,SIT’s big revelation in Sabarimala scandal: Gold missing from more temple artefacts
2388,"India’s first Vande Bharat sleeper class train will run on Guwahati-Kolkata route, to be launched by PM Modi"
2389,"Maoist wanted in murder, extortion cases since 1999 killed in Bihar gunfight"
2390,"Top News Headlines of January 1, 2026 | PMC polls: Mohol takes on Ajit Pawar for fielding candidates with ‘criminal background’"
2391,"India Weather Today: Dense fog envelops Delhi skies, flight ops impacted amid low visibility in parts of India"
2392,‘Praying for peace and happiness in our society’: PM Modi extends New Year greetings
2393,Why did Goa name its new district Kushavati?
2394,CPI snub to Vijayan over Natesan: ‘LDF should not become Vellappally’
2395,"2025 broke Kashmir’s fragile calm, exposed new security threats"
2396,‘Such incidents vitiate moral fabric of our nation’: Goa Archbishop on Christmas attacks
2397,"Land records system, meant to bring transparency in J&K, offline since Operation Sindoor"
2398,"Goa club fire: Probe report is out, exposing series of missteps and collusion"
2399,A New Year postcard from the Raipur mall vandalised by Bajrang Dal men
2400,"7 dead, over 100 hospitalised as sewage mixes with drinking water in Madhya Pradesh; inquiry exposes killer lapses by authorities"
2401,"J&K court acquits three in terror case, points to ‘shortcomings’ in prosecution evidence"
2402,New year of hope for disabled military cadets: A new health cover that cuts costs
2403,Class 11 student dies during sports meet in Odisha school
2404,Nitin Nabin appointment as BJP chief likely to be formalised by mid-January
2405,"From PAN card-Aadhaar linking to 8th Pay Commission: New rule changes from January 1, 2026 in financial sector"
2406,"Khaleda Zia funeral: Handing over letter from Modi, Jaishankar meets ex-PM’s son, flags ‘partnership’"
2407,WATCH: India successfully test-fires 2 Pralay missiles off Odisha coast
2408,"Assam couple killed in suspected ‘witch-hunting’, house set ablaze"
2409,"Amid gig workers’ protest, Swiggy and Zomato reiterate ‘increased payout during festival period’"
2410,"Abhishek Banerjee raises ‘vote chori’ allegations after meeting CEC: Gyanesh Kumar ‘sent on mission to destroy ECI, country’"
2411,"Ahead of New Year’s eve, 150 kg ammonium nitrate seized from Tonk"
2412,Indore contaminated water supply: Three die of diarrhoea; MP CM announces compensation
2413,"Aadhaar PAN Link Deadline Today LIVE Updates: Steps, Penalty, Status Check on Income Tax Portal"
2414,"Silver Today Rate, December 31: Silver price today in India, Delhi, Hyderabad, Bangalore, Chennai, Mumbai and other silver rate list"
